Key,Tier,Item Type,Publication Year,Author,Publication Title,DOI,Title,Abstract Note,Country of Origin,Geographic Scope,Geographic Scope - Note,Time Scope - Start Date,Time Scope - End Date,Time Scope - Non-consecutive?,Time Scope - Note,duration,Data Size - Number,Subset?,Subset - Note,Interval Size,Data Source Type,Data Source,Topic 1,Topic 2,Topic 3,Topic 4,Topic_Group,Methodological Themes - Method,Minor - Method,Application Theme - Purpose,Minor - Purpose
V5G6IAWK,1,journalArticle,2012,"Birt, Benjamin J.; Newsham, Guy R.; Beausoleil-Morrison, Ian; Armstrong, Marianne M.; Saldanha, Neil; Rowlands, Ian H.",Energy and Buildings,10.1016/j.enbuild.2012.03.025,Disaggregating categories of electrical energy end-use from whole-house hourly data,"The residential sector uses nearly 30% of all electricity in Canada, and, it is important to know how this energy is being used, so that savings may be identified and realised. We propose a method that can be applied to hourly whole-house electrical energy data to partially disaggregate total household electricity use into five load categories/parameters (base load, activity load, heating season gradient, cooling season gradient and lowest external temperature at which air-conditioning is used). This paper develops the proposed method, and verifies it using high-resolution end-use data from twelve households with known characteristics. We then apply the method to hourly whole-house (smart meter) data from 327 households in Ontario. The roll-out of smart (advanced) metering infrastructure in many countries will make hourly whole-house data abundant, and we propose that this method could be widely applied by utilities to target their demand-side management programs towards households more likely to provide benefits, thus increasing the cost-effectiveness of such programs. ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2012 NRC Canada.",Canada,State,Ontario,1/1/2018,12/31/2018,No,,365,1297,Yes,327,1-hour,Utility Company,Not Specified,Load Disaggregation,Air Conditioning,Consumption Behavior (Temperature/Weather),,Evaluation of Household Physical Infrastructure,Understanding Residential Stock and Behaviors,Load patterns,Utility Operations and benefits,Appliance Identification and Use Patterns
69KWWP97,1,journalArticle,2014,"Perez, Krystian X.; Cole, Wesley J.; Rhodes, Joshua D.; Ondeck, Abigail; Webber, Michael; Baldea, Michael; Edgar, Thomas F.",Energy and Buildings,10.1109/ACCESS.2020.3002155,Nonintrusive disaggregation of residential air-conditioning loads from sub-hourly smart meter data,"The installation of smart meters has provided an opportunity to better analyze residential energy consumption and energy-related behaviors. Air-conditioning (A/C) use can be determined through non-intrusive load monitoring, which separates A/C cooling energy consumption from whole-house energy data. In this paper, a disaggregation technique is described and executed on 1-min smart meter data from 88 houses in Austin, TX, USA, from July 2012 through June 2013. Nineteen houses were sub-metered to validate the accuracy of the disaggregation technique. The R2 value between the predicted and actual A/C energy use for the 19 houses was 0.90. The algorithm was then applied to all houses. On average, daily energy use from A/C increased by 25 ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â± 11 kWh between a mild temperature day of 15.5 ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C (60ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°F) and a hotter day of 31.5ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C (89ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°F), with an 11 kWh increase just during peak hours (14:00-20:00). Average time operated, number of cycles, and A/C fraction of energy were found to increase linearly with outdoor temperature up to 25ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C (77 ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°F); a plateau was detected at higher temperatures. The accuracy of A/C disaggregation on 5-min data was found to be comparable to 1-min data. However, 15-min data did not yield accurate results due to insufficient granularity. ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2014 Elsevier B.V.",United States,Local Community,Austin,7/1/2012,6/30/2013,No,,365,88,No,,1-min,Data Company,Pecan Street,Air Conditioning,Load Disaggregation,,,Evaluation of Household Physical Infrastructure,Understanding Residential Stock and Behaviors,Appliance Identification,Physical Infrastructure,Appliance Identification and Use Patterns
QJFEYL6Q,1,journalArticle,2014,"Rosenberg, Eva",Energy,10.1016/j.energy.2013.12.049,Calculation method for electricity end-use for residential lighting,"Knowledge of the electricity demand for different electrical appliances in households is very important in the work to reduce electricity use in households. Metering of end-uses is expensive and time consuming and therefore other methods for calculation of end-use electricity can be very useful. This paper presents a method to calculate the electricity used for lighting in households based on regression analysis of daily electricity consumption, out-door temperatures and the length of daylight at the same time and location. The method is illustrated with analyses of 45 Norwegian households. The electricity use for lighting in an average Norwegian household is calculated to 1050kWh/year or 6% of total electricity use. The results are comparable to metering results of lighting in other studies in the Nordic countries. The methodology can also be used to compensate for the seasonal effect when metering electricity for lighting less than a year. When smart meters are more commonly available, the possible adaption of this method will increase, and the need for end-use demand calculations will still be present. ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2013 Elsevier Ltd.",Norway,County,"Oslo/Akershus, Sogn-og Fjordane, SÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¸r-TrÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¸ndelag",,,Yes,1 year,365,45,No,,1-day,Utility Company,"FosenKraft, Hafslund, SFE",Lighting,Appliance Identification,,,Evaluation of Household Physical Infrastructure,Understanding Residential Stock and Behaviors,Appliance Identification,Physical Infrastructure,Appliance Identification and Use Patterns
83RTR9RG,2,journalArticle,2011,"Ndiaye, Demba; Gabriel, Kamiel",Energy and Buildings,10.1016/j.enbuild.2010.10.008,Principal component analysis of the electricity consumption in residential dwellings,"Data gathered from energy audits, phone surveys and smart meter readings are used to derive regression models of the electricity consumption of housing units in Oshawa (Ontario, Canada). The database used comprises 59 predictors, for 62 observations. To address the problem of multi-collinearities among the predictors and at the same time reduce the number of needed predictors, a methodology is developed based on the latent root regression technique of Hawkins [5]. Contrary to other variable selection techniques such as the stepwise method, the technique used in this paper allows an easy identification of alternative subsets. Using this technique, a reduction of 85% in the number of predictors is obtained, leaving only nine of them in the final subset. These nine variables are the number of occupants, the house status (owned or rented), the number of weeks of vacation per year, the type of fuel used in the pool heater, the type of fuel used in the heating system, the type of fuel used in the domestic hot water heater, the existence or not of an air conditioning system, the type of air conditioning system, and the number of air changes per hour at 50 Pa. A regression with these nine predictors leads to an R2 of 0.79, with an adjusted R2 of 0.75 and all regression coefficients statistically significant at the 95% confidence level. ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2010 Elsevier B.V. All rights reserved.",Canada,City,Oshawa,2/1/2007,7/31/2008,No,,547,269,No,,1-hour,Utility Company,OPUC,Short Term Load Forecasting,Consumption Behavior (Socioeconomical Characteristics),Consumption Behavior (Building Characteristics),,Load Forecasting,Understanding Residential Stock and Behaviors,Load patterns - Socioeconomic Factors,Utility Operations and benefits,Short Term Load Forecasting
BZW43UDY,1,journalArticle,2013,"Ayompe, L.M.; Duffy, A.",Energy Policy,10.1016/j.enpol.2013.06.102,Feed-in tariff design for domestic scale grid-connected PV systems using high resolution household electricity demand data,"The advent of large samples of smart metering data allows policymakers to design Feed-in Tariffs which are more targeted and efficient. This paper presents a methodology which uses these data to design FITs for domestic scale grid-connected PV systems in Ireland. A sample of 2551 household electricity demand data collected at 1/2-hourly intervals, electricity output from a 2.82kWp PV system over the same time interval as well as PV system costs and electricity tariffs were used to determine the required FIT to make it worthwhile for the households to invest in the PV system. The methodology shows that it is possible to design single, multiple and continuous FITs. Continuous FITs are the most efficient and result in no overcompensation to the housholder while single and multiple FITs are less efficient since they result in different levels of overcompensation. In the PV case study considered, it was shown that the use of three FITs (0.3170, 0.3315 and 0.3475ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡Ãƒâ€šÃ‚Â¬/kWh) resulted in a 59.6% reduction in overcompensation compared to a single FIT of 0.3475ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡Ãƒâ€šÃ‚Â¬/kWh; assuming immediate and complete uptake of the technology, this would result in NPV savings of over ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡Ãƒâ€šÃ‚Â¬597m to the Irish government over a 25 year lifetime. ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2013 Elsevier Ltd.",Ireland,Nation,,,,No,1 year,365,3889,Yes,2551,30-min,Program/Project,CERCBT,Photovoltaics,Pricing System,,,Utility Operation Optimization,Evaluation of New Technologies,Systems - PV,Utility Operations and benefits,Rate Structures
RVJ4QXSB,2,journalArticle,2014,"Kavousian, Amir; Rajagopal, Ram",Journal of Computing in Civil Engineering,10.1061/(ASCE)CP.1943-5487.0000327,Data-driven benchmarking of building energy efficiency utilizing statistical frontier models,"Frontier methods quantify the energy efficiency of buildings by forming an efficient frontier (best-practice technology) and by comparing all buildings against that frontier. Because energy consumption fluctuates over time, the efficiency scores are stochastic random variables. Existing applications of frontier methods in energy efficiency either treat efficiency scores as deterministic values or estimate their uncertainty by resampling from one set of measurements. Availability of smart meter data (repeated measurements of energy consumption of buildings) enables using actual data to estimate the uncertainty in efficiency scores. Additionally, existing applications assume a linear form for an efficient frontier; i.e., they assume that the best-practice technology scales up and down proportionally with building characteristics. However, previous research shows that buildings are nonlinear systems. This paper proposes a statistical method called stochastic energy efficiency frontier (SEEF) to estimate a bias-corrected efficiency score and its confidence intervals from measured data. The paper proposes an algorithm to specify the functional form of the frontier, identify the probability distribution of the efficiency score of each building using measured data, and rank buildings based on their energy efficiency. To illustrate the power of SEEF, this paper presents the results from applying SEEF on a smart meter data set of 307 residential buildings in the United States. SEEF efficiency scores are used to rank individual buildings based on energy efficiency, to compare subpopulations of buildings, and to identify irregular behavior of buildings across different time-of-use periods. SEEF is an improvement to the energy-intensity method (comparing kÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â·Wh/sq.ft.): whereas SEEF identifies efficient buildings across the entire spectrum of building sizes, the energy-intensity method showed bias toward smaller buildings. The results of this research are expected to assist researchers and practitioners compare and rank (i.e., benchmark) buildings more robustly and over a wider range of building types and sizes. Eventually, doing so is expected to result in improved resource allocation in energy-efficiency programs. ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2014 American Society of Civil Engineers.",United States,Nation,,6/1/2010,9/30/2010,No,,122,307,No,,10-min,Smart Meter,Not Specified,Energy Efficiency,Consumption Behavior (Building Characteristics),,,Evaluation of Household Physical Infrastructure,Understanding Residential Stock and Behaviors,Load patterns - Building Stock,Consumer Behavior,Load patterns - Building Stock
RQDMLJ7Z,1,journalArticle,2013,"Kavousian, Amir; Rajagopal, Ram; Fischer, Martin",Energy,10.1016/j.energy.2013.03.086,"Determinants of residential electricity consumption: Using smart meter data to examine the effect of climate, building characteristics, appliance stock, and occupants' behavior","We propose a method to examine structural and behavioral determinants of residential electricity consumption, by developing separate models for daily maximum (peak) and minimum (idle) consumption. We apply our method on a data set of 1628 households' electricity consumption. The results show that weather, location and floor area are among the most important determinants of residential electricity consumption. In addition to these variables, number of refrigerators and entertainment devices (e.g., VCRs) are among the most important determinants of daily minimum consumption, while number of occupants and high-consumption appliances such as electric water heaters are the most significant determinants of daily maximum consumption. Installing double-pane windows and energy-efficient lights helped to reduce consumption, as did the energy-conscious use of electric heater. Acknowledging climate change as a motivation to save energy showed correlation with lower electricity consumption. Households with individuals over 55 or between 19 and 35 years old recorded lower electricity consumption, while pet owners showed higher consumption. Contrary to some previous studies, we observed no significant correlation between electricity consumption and income level, home ownership, or building age. Some otherwise energy-efficient features such as energy-efficient appliances, programmable thermostats, and insulation were correlated with slight increase in electricity consumption. ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2013 Elsevier Ltd.",United States,Nation,,2/28/2010,10/23/2010,No,,238,1628,Yes,952,10-min,Smart Meter,Self-collected,Consumption Behavior (Building Characteristics),Consumption Behavior (Socioeconomical Characteristics),Consumption Behavior (Temperature/Weather),,Understanding Residential Behavior,Understanding Residential Stock and Behaviors,Load patterns,Consumer Behavior,Load patterns
TMP55SPU,2,journalArticle,2014,"Jin, Nanlin; Flach, Peter; Wilcox, Tom; Sellman, Royston; Thumim, Joshua; Knobbe, Arno",IEEE Transactions on Industrial Informatics,10.1109/TII.2014.2311968,Subgroup Discovery in Smart Electricity Meter Data,"This work presents data mining methods for discovering unusual consumption patterns and their associated descriptive models from smart electricity meter data. At present, data mining and knowledge discovery in electricity meter data suffer from three notable weaknesses: 1) insufficient focus on intelligent data analysis of subgroups (subsets) whose patterns vary significantly from aggregate patterns embodied in an entire dataset; 2) a lack of effort towards generating intuitively understandable and practically applicable knowledge for industrial practitioners to identify such subgroups; and 3) limited knowledge regarding the link between unusual consumption patterns and household consumers' socio-demographic characteristics. This paper addresses these practically important but technically challenging issues by applying subgroup discovery algorithms to a real smart electricity meter dataset. Subgroups whose patterns are unusual and whose sizes are large enough are discovered, and their descriptive and predictive models are generated. Furthermore, to enrich subgroup discovery algorithms, three new-quality measures for real-valued targets are proposed. The comparative studies empirically evaluate the effectiveness and usefulness of subgroup discovery on classification accuracy, predictive power, and computational resources. The methodologies and algorithms presented are generic, and therefore applicable to a wider range of data mining problems.",UK,Nation,,4/1/2009,10/31/2010,No,,579,5000,No,,30-min,Dataset,EDRP,Consumption Behavior (Building Characteristics),Consumption Behavior (Socioeconomical Characteristics),,,Understanding Residential Behavior,Understanding Residential Stock and Behaviors,Load patterns - Socioeconomic Factors,Consumer Behavior,Load patterns - Socioeconomic Factors
QZESYVJ2,1,journalArticle,2014,"Haben, Stephen; Ward, Jonathan; Vukadinovic Greetham, Danica; Singleton, Colin; Grindrod, Peter",International Journal of Forecasting,10.1016/j.ijforecast.2013.08.002,"A new error measure for forecasts of household-level, high resolution electrical energy consumption","As low carbon technologies become more pervasive, distribution network operators are looking to support the expected changes in the demands on the low voltage networks through the smarter control of storage devices. Accurate forecasts of demand at the individual household-level, or of small aggregations of households, can improve the peak demand reduction brought about through such devices by helping to plan the most appropriate charging and discharging cycles. However, before such methods can be developed, validation measures which can assess the accuracy and usefulness of forecasts of the volatile and noisy household-level demand are required. In this paper we introduce a new forecast verification error measure that reduces the so-called ""double penalty"" effect, incurred by forecasts whose features are displaced in space or time, compared to traditional point-wise metrics, such as the Mean Absolute Error, and p-norms in general. The measure that we propose is based on finding a restricted permutation of the original forecast that minimises the point-wise error, according to a given metric. We illustrate the advantages of our error measure using half-hourly domestic household electrical energy usage data recorded by smart meters, and discuss the effect of the permutation restriction. ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2013 International Institute of Forecasters.",UK,Nation,,,,No,10 weeks,70,600,No,,30-min,Program/Project,EDRP,Short Term Load Forecasting,,,,Load Forecasting,Forecasting,,Utility Operations and benefits,Short term load forecasting
Q4H9JRNK,2,journalArticle,2015,"Laicane, I.; Blumberga, D.; Blumberga, A.; Rosa, M.",Energy Procedia,,Comparative multiple regression analysis of household electricity use in Latvia: using smart meter data to examine the effect of different household characteristics,"The development and implementation of effective policies for promoting energy efficiency in the household sector has been an emerging target of the EU. A recent analysis of Latvian households included in a smart metering pilot, shows this type of housing as the most statistically significant variable to impact electricity savings. This study deals with the statistical analysis of residential buildings to find simplified correlations for the assessment of factors affecting changes in electricity consumption, in particular, taking into account selected building characteristics, as well as the personal, socio-economic, socio-demographic characteristics of households. Multiple linear regression analysis is used to present and compare results between two groups &#8211; the target group with smart meters and control group without smart meters by differentiating among typical heating types as determined in a field study. [All rights reserved Elsevier].",Latvia,Nation,,4/1/2013,3/31/2014,No,,365,500,No,,1-month,Utility Company,Latvenergo,Consumption Behavior (Building Characteristics),Consumption Behavior (Socioeconomical Characteristics),,,Understanding Residential Behavior,Understanding Residential Stock and Behaviors,Load patterns - Socioeconomic Factors,Consumer Behavior,Load patterns - Socioeconomic Factors
